path,bytes,shows,provenance,presentation_status,needs
reports/gemini_action_viz/anno_004.png,35279,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_005.png,35616,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_006.png,34055,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_007.png,34969,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_008.png,35549,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_009.png,35754,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_010.png,34281,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_011.png,34028,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_012.png,34161,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_013.png,34734,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_014.png,35050,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_015.png,35792,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_016.png,36185,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_017.png,35876,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_018.png,36268,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_019.png,35455,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_020.png,36349,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_021.png,35255,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_022.png,35421,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_023.png,35441,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_024.png,35831,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_025.png,36022,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_026.png,34472,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_027.png,34843,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_028.png,35604,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_029.png,35796,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_030.png,36633,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_031.png,36658,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_032.png,34049,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_033.png,34267,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_034.png,34964,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_035.png,35612,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_036.png,35481,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_037.png,36512,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_038.png,36066,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_039.png,35715,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_040.png,35038,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_041.png,35992,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_042.png,34832,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_043.png,34550,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_044.png,34782,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_045.png,35067,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_046.png,36620,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_047.png,37394,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_048.png,36692,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_049.png,36444,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_050.png,37231,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_051.png,37455,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_052.png,37793,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_053.png,37522,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_054.png,36924,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_055.png,37744,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_056.png,37528,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_057.png,36230,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_058.png,36944,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_059.png,37255,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/contact_sheet.png,102889,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/gemini_er2_in_action.mp4,77585,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/perception_bench/overhead_000.png,29414,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/perception_bench/overhead_001.png,28662,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/perception_bench/overhead_002.png,30159,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/perception_bench/overhead_003.png,30193,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/perception_bench/overhead_004.png,30861,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/perception_bench/overhead_005.png,31401,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/perception_bench/overhead_006.png,29711,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/perception_bench/overhead_007.png,30631,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/perception_bench/overhead_008.png,31286,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/perception_bench/overhead_009.png,31506,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/perception_bench/overhead_010.png,30149,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
